ocid,initiationType,tag,id,date,tender/id,tender/externalReference,tender/title,tender/mainProcurementCategory,tender/procurementMethod,tender/contractType,tenderclassification/description,tender/submissionMethodDetails,tender/participationFee/0/multiCurrencyAllowed,tender/allowTwoStageTender,tender/value/amount,tender/datePublished,tender/milestones/title,tender/milestones/code,tender/milestones/type,tender/milestones/dueDate,tender/tenderPeriod/durationInDays,tender/allowPreferentialBidder,Payment Mode,tender/status,tender/stage,tender/numberOfTenderers,tender/milestones/type.1,tender/milestones/title.1,tender/milestones/dueDate.1,tender/bidOpening/date,tender/documents/id,buyer/name,fiscal_year
ocds-kjhdrl-2018_ICD_4780_1,tender,tender,1,2022-09-29,2018_ICD_4780_1,APL/Proj/04/NIT-001/2017/425,Over Head Line Shifting cum Erection,Works,Open Limited,Item Rate,Electrical Works,NA,No,No,519200,2018-04-01 9:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,AOC,3,assessment,Price Bid Opening Date,NA,19-01-2018 15:00,NA,Industries and Commerce Department,2018-2019
ocds-kjhdrl-2017_PWD_4703_1,tender,tender,1,2022-09-29,2017_PWD_4703_1,CS/GRD/UntiedSCA(B/W)/2017-18/,CS/GRD/UntiedSCA(B/W)/2017-18,Works,Open Tender,Item Rate,Civil Works – Roads,NA,No,No,6094700,2018-04-01 11:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,Technical Bid Opening,0,assessment,Price Bid Opening Date,NA,11-01-2018 11:00,NA,Public Works Roads Department,2018-2019
ocds-kjhdrl-2018_CT_4771_1,tender,tender,1,2022-09-29,2018_CT_4771_1,CT-E/178/2017/12 dated 2/01/2018,"Supply of Computers,Printers,UPS etc",Goods,Open Tender,Item Rate,Computer- H/W,NA,No,No,9999024,2018-04-01 11:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,To be Opened,0,assessment,Price Bid Opening Date,NA,30-01-2018 11:00,NA,Commissionerate Of Transport,2018-2019
ocds-kjhdrl-2018_KAAC_4778_1,tender,tender,1,2022-09-29,2018_KAAC_4778_1,CS-39-02_1,Construction of RCC Bridge,Works,Open Tender,Item Rate,Civil Works,NA,No,No,9299000,2018-04-01 11:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,To be Opened,0,assessment,Price Bid Opening Date,NA,24-01-2018 15:00,NA,Karbi Anglong Autonomous Council,2018-2019
ocds-kjhdrl-2018_KAAC_4777_1,tender,tender,1,2022-09-29,2018_KAAC_4777_1,CS-39-02_2,Construction of RCC Br,Works,Open Tender,Item Rate,Civil Works - Bridges,NA,No,No,12205000,2018-04-01 11:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,To be Opened,1,assessment,Price Bid Opening Date,NA,24-01-2018 15:00,NA,Karbi Anglong Autonomous Council,2018-2019
ocds-kjhdrl-2018_PWBNH_4793_1,tender,tender,1,2022-09-29,2018_PWBNH_4793_1,SMC/12/2017/ 3_Grade IV Quarter_Supermarket,"Construction of (G Plus 3) RCC Grade IV Quarter near Supermarket, Dispur, Ghy-6",Works,Open Tender,Item Rate,Civil Works - Building,NA,No,No,20957000,2018-04-01 13:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Technical Evaluation,2,assessment,Price Bid Opening Date,NA,11-01-2018 15:00,NA,Public Works Building and NH Department,2018-2019
ocds-kjhdrl-2018_PWBNH_4796_1,tender,tender,1,2022-09-29,2018_PWBNH_4796_1,EOI_Baresaharia Bhaona,"Consultancy Services for Development of Baresaharia Bhaona at Jamugurihat, Sonitpur District",Works,Open Tender,Item Rate,Civil Works - Building,NA,No,No,0,2018-04-01 13:30:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,AOC,3,assessment,Price Bid Opening Date,NA,19-02-2018 12:00,NA,Public Works Building and NH Department,2018-2019
ocds-kjhdrl-2018_PWBNH_4800_1,tender,tender,1,2022-09-29,2018_PWBNH_4800_1,CS/SE(B-I)/904/2017-18/5759-65 dtd.01-01-2018,Constn of Pandal Saluting B B and View Cutter etc for Celebration of Republic Day for 2018 at Khanapara Vet Pl Ground Ghy 22 including Constn of Pandal for Hi Tea at AASC Khanapara and Road side bamboo barricade at sel location near the venue,Works,Open Tender,Item Rate,Civil Works – Canal,NA,No,No,5835201,2018-04-01 14:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,To be Opened,3,assessment,Price Bid Opening Date,NA,10-01-2018 11:00,NA,Public Works Building and NH Department,2018-2019
ocds-kjhdrl-2018_PNRD_4811_1,tender,tender,1,2022-09-29,2018_PNRD_4811_1,SIPRD-161/17/7_Dhakuakhana,"Construction of Panchayat Resource cum Training Centre at Dhakuakhana, Lakhimpur under RGSA 2016-17",Works,Open Tender,Works,Construction Works,NA,No,No,31035000,2018-05-01 9:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,To be Opened,2,assessment,Price Bid Opening Date,NA,30-01-2018 14:00,NA,Principal Secretary- P and RD- Assam Secretariat,2018-2019
ocds-kjhdrl-2018_AEGCL_4783_1,tender,tender,1,2022-09-29,2018_AEGCL_4783_1,AEGCL/MD/TL-50/ PT-II(Lakwa-Dibrugarh),Shifting of 132 KV Transmission Line,Works,Open Tender,Works,Electrical Works,NA,No,No,0,2018-05-01 10:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,AOC,1,assessment,Price Bid Opening Date,NA,30-01-2018 14:00,NA,Assam Electricity Grid Corporation Ltd,2018-2019
